GEO_ID|B25077_E001|B25077_M001
04000E1US22|151100|6823
04000E1US23|185000|7675
04000E1US24|277700|9242
04000E1US25|394200|31455
04000E1US26|144000|3338
04000E1US27|201400|3168
04000E1US28|143400|4230
04000E1US29|154600|3955
04000E1US30|285900|10738
04000E1US31|189900|3547
04000E1US32|303800|8574
04000E1US33|280000|8055
04000E1US35|177100|4741
04000E1US36|121700|2333
04000E1US37|193600|3900
04000E1US38|233600|7038
04000E1US39|147200|2570
04000E1US40|155900|3225
04000E1US41|289400|7099
04000E1US42|138900|4360
04000E1US45|167300|10744
04000E1US46|211100|4754
04000E1US47|200500|5402
04000E1US48|150900|3225
04000E1US49|337900|8723
04000E1US50|196000|10220
04000E1US51|142100|10611
04000E1US53|324100|7811
04000E1US54|127200|9062
04000E1US55|179100|2996
04000E1US56|271600|5733
04000E1US72|93400|2435
04000E2US01|144900|3521
04000E2US02|427900|21228
04000E2US04|198700|7187
04000E2US05|138200|3243
04000E2US06|424300|4807
04000E2US08|467100|10872
04000E2US09|320200|5825
04000E2US10|357900|7650
04000E2US12|193900|5097
04000E2US13|170600|3202
04000E2US15|579500|14404
04000E2US16|334500|8118
04000E2US17|142900|1883
04000E2US18|181300|2188
04000E2US19|185300|3546
04000E2US20|164200|4083
04000E2US21|144900|2495
04000E2US22|141300|4479
04000E2US23|229500|4823
04000E2US24|251100|8043
04000E2US25|376100|8972
04000E2US26|183600|1472
04000E2US27|257300|2520
04000E2US28|133700|4448
04000E2US29|164400|3103
04000E2US30|505600|20869
04000E2US31|187200|3465
04000E2US32|364600|11500
04000E2US33|305700|5148
04000E2US35|171100|4885
04000E2US36|163900|1766
04000E2US37|188400|2177
04000E2US38|246100|11109
04000E2US39|177800|1515
04000E2US40|154300|2751
04000E2US41|309600|6668
04000E2US42|170800|1275
04000E2US45|170100|4875
04000E2US46|240600|7252
04000E2US47|203100|2713
04000E2US48|182800|3188
04000E2US49|438600|10826
04000E2US50|269100|3957
04000E2US51|151000|4293
04000E2US53|392200|5416
04000E2US54|157100|4101
04000E2US55|226300|1669
04000E2US56|331600|11886
04000E2US72|104100|2676
04000G0US01|120500|2518
04000G0US02|272700|5272
04000G0US04|84200|6603
04000G0US05|114600|1508
04000G0US06|369100|6223
04000G0US08|307500|6793
04000G0US12|136000|6385
04000G0US13|157200|2904
04000G0US16|267800|6426
04000G0US17|113200|1153
04000G0US18|152200|2277
04000G0US19|149400|1680
04000G0US20|109100|1608
04000G0US21|121000|1391
04000G0US22|112000|2558
04000G0US23|202700|3023
04000G0US24|260700|6996
04000G0US26|157700|1168
04000G0US27|189400|1470
04000G0US28|109800|2090
04000G0US29|155300|2043
04000G0US30|260200|4381
04000G0US31|145800|2697
04000G0US32|190400|7716
04000G0US33|280100|8067
04000G0US35|126600|9770
04000G0US36|161100|1942
04000G0US37|174500|3051
04000G0US38|157000|4101
04000G0US39|156000|2606
04000G0US40|124600|1617
04000G0US41|313600|14268
04000G0US42|175000|2078
04000G0US45|102100|2947
04000G0US46|149800|4243
04000G0US47|155400|2801
04000G0US48|158400|2043
04000G0US49|274300|7038
04000G0US50|249900|4609
